               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088315,             0.05061,            0.036551,             0.27003,             0.44897,             0.32874,             0.13897,             0.06171,            0.037556,            0.021247,            0.070067,           0.0033259,           0.0033259
                   1,            0.062411,            0.042741,            0.017587,             0.51532,             0.64884,             0.57188,             0.28416,            0.049305,            0.031992,            0.014896,            0.039985,           0.0065768,           0.0065768
                   2,            0.055061,            0.039351,            0.014128,             0.79938,             0.73443,             0.80145,             0.39306,            0.042887,            0.030742,            0.011845,           0.0098196,           0.0097452,           0.0097452
                   3,            0.049605,            0.037415,            0.010364,             0.86509,             0.77554,             0.84547,             0.41607,             0.04139,             0.02872,           0.0077538,           0.0096288,           0.0096288,           0.0096288
                   4,            0.045644,            0.036083,           0.0085523,             0.89854,              0.8231,             0.89553,             0.48747,             0.03759,            0.027488,           0.0064078,           0.0096288,           0.0096288,           0.0096288
                   5,            0.043105,            0.035249,           0.0072974,             0.89813,             0.83141,             0.90162,             0.50143,            0.036235,            0.026851,           0.0056838,            0.009505,            0.009505,            0.009505
                   6,             0.04137,            0.034717,           0.0066106,             0.89976,             0.83686,             0.90198,             0.52259,            0.035572,            0.026731,           0.0055682,           0.0093813,           0.0093813,           0.0093813
                   7,            0.040065,            0.033744,           0.0062416,             0.90572,              0.8556,              0.9128,             0.52259,            0.034518,            0.026496,           0.0045805,           0.0092575,           0.0092575,           0.0092575
                   8,            0.038824,            0.032984,           0.0057148,             0.90979,             0.86799,             0.92112,             0.54439,            0.033691,            0.025901,           0.0049549,           0.0091337,           0.0091337,           0.0091337
                   9,             0.03794,            0.032606,           0.0053592,              0.9193,             0.86409,             0.92172,             0.55529,             0.03362,            0.025454,           0.0042274,             0.00901,             0.00901,             0.00901
                  10,            0.037333,            0.032337,           0.0052139,             0.92653,             0.86737,             0.92526,             0.54573,            0.033203,            0.025167,           0.0042705,           0.0088863,           0.0088863,           0.0088863
                  11,            0.036423,            0.031643,           0.0049377,             0.92396,             0.87898,             0.93246,             0.55986,            0.032852,             0.02442,           0.0037932,           0.0087625,           0.0087625,           0.0087625
                  12,            0.035493,            0.031519,           0.0047765,             0.92315,             0.88304,             0.93124,             0.56393,            0.032953,            0.025099,           0.0038138,           0.0086388,           0.0086388,           0.0086388
                  13,            0.035215,            0.031159,           0.0045315,             0.93078,              0.8871,             0.93791,             0.58982,            0.031038,            0.024149,           0.0033596,            0.008515,            0.008515,            0.008515
                  14,            0.034607,            0.030888,           0.0043873,             0.93121,             0.88515,              0.9358,             0.57764,            0.031998,            0.024747,           0.0036313,           0.0083913,           0.0083913,           0.0083913
                  15,            0.034326,            0.031055,           0.0042523,             0.92076,             0.89021,              0.9382,             0.57307,            0.031659,            0.024358,             0.00324,           0.0082675,           0.0082675,           0.0082675
                  16,            0.033806,            0.030305,           0.0041903,             0.93039,             0.88427,             0.93735,             0.58582,            0.030953,            0.024392,           0.0036526,           0.0081437,           0.0081437,           0.0081437
                  17,            0.033723,            0.030125,           0.0041174,             0.92909,             0.89511,             0.94164,             0.60063,            0.030316,            0.024035,           0.0031423,             0.00802,             0.00802,             0.00802
                  18,            0.033235,            0.029807,           0.0040145,             0.93649,             0.89299,             0.94447,             0.61454,            0.029642,            0.023605,           0.0032013,           0.0078963,           0.0078963,           0.0078963
                  19,            0.033089,            0.029667,           0.0039316,             0.93701,             0.88853,              0.9433,             0.61207,            0.029647,            0.023528,           0.0032055,           0.0077725,           0.0077725,           0.0077725
                  20,            0.032691,            0.029638,           0.0038036,             0.92441,             0.89372,             0.94467,             0.60316,            0.030042,            0.023423,           0.0031998,           0.0076488,           0.0076488,           0.0076488
                  21,            0.032182,            0.029021,           0.0037325,             0.94084,             0.89948,             0.94938,             0.62119,            0.028795,            0.023098,           0.0030487,            0.007525,            0.007525,            0.007525
                  22,            0.032071,            0.029471,            0.003635,             0.93873,             0.90265,             0.94936,             0.62286,            0.028971,            0.023396,           0.0028986,           0.0074013,           0.0074013,           0.0074013
                  23,            0.031633,             0.02883,           0.0035961,             0.93743,             0.90325,             0.95112,              0.5959,            0.030571,            0.023914,           0.0030822,           0.0072775,           0.0072775,           0.0072775
                  24,            0.031499,            0.028722,            0.003523,             0.94185,             0.90217,             0.94987,             0.63634,            0.028188,            0.022682,           0.0028588,           0.0071538,           0.0071538,           0.0071538
                  25,             0.03131,             0.02868,           0.0035084,             0.93831,              0.8999,             0.94888,             0.62464,             0.02876,            0.023002,           0.0028659,             0.00703,             0.00703,             0.00703
                  26,            0.031156,            0.028479,           0.0034481,             0.94329,             0.89466,             0.94963,             0.63685,            0.028127,            0.022665,           0.0027673,           0.0069063,           0.0069063,           0.0069063
                  27,            0.030833,            0.028436,           0.0033865,             0.93502,             0.90439,             0.95052,             0.63013,            0.028799,            0.022908,           0.0029515,           0.0067825,           0.0067825,           0.0067825
                  28,            0.030653,            0.028252,           0.0032402,             0.94209,             0.90495,             0.95191,             0.63535,            0.028198,            0.022855,           0.0026677,           0.0066587,           0.0066587,           0.0066587
                  29,            0.030543,            0.028508,           0.0033089,              0.9396,             0.90976,             0.95215,             0.64113,            0.028096,            0.022691,            0.002761,            0.006535,            0.006535,            0.006535
                  30,            0.030333,             0.02816,           0.0033796,             0.94232,             0.90233,             0.95293,             0.64715,            0.027616,             0.02227,           0.0026937,           0.0064112,           0.0064112,           0.0064112
